suite	test	group
Generator	ReResolveAcrossCalls_SharedParameterData_RawValueUnchanged	`matrix.*` fixture modules not registered (none)
Generator	DataWrappedList_NestedVarInDict_DeepResolvesAndTypes	deep `%var%` resolution inside nested list/dict (none)
Generator	DataWrappedDict_NestedVar_DeepResolves	deep `%var%` resolution inside nested list/dict (none)
Generator	DeepResolutionDict_PrimitiveVar_Substituted	deep `%var%` resolution inside nested list/dict (none)
Generator	DeepResolutionDict_NestedList_FullyWalked	deep `%var%` resolution inside nested list/dict (none)
Generator	DeepResolutionList_NestedDict_SubstitutesInside	deep `%var%` resolution inside nested list/dict (none)
Generator	DeepResolutionList_NestedListsAndDicts_FullyWalked	deep `%var%` resolution inside nested list/dict (none)
Generator	DoesNotFire_OnSystemIoFile_InsidePathTypesNamespace	analyzer (none)
Runtime	ChannelEntity_Write_RoundTripsDataThroughTheElement	flakes
Runtime	RunAsync_FailedStepNotRecorded	flakes
Runtime	Simple_IfTrue_BranchIndexIs0	condition fixtures in the pre-Child shape (none)
Runtime	Simple_IfFalse_BranchIndexIs1	condition fixtures in the pre-Child shape (none)
Runtime	MultiBranch_FirstBranchMatches_BranchIndexIs0	condition fixtures in the pre-Child shape (none)
Runtime	MultiBranch_SecondBranchMatches_BranchIndexIs1	condition fixtures in the pre-Child shape (none)
Runtime	Run_FixtureWithConditionIf_ProductionSubscriber_RecordsBranchLabelAndChain	condition fixtures in the pre-Child shape (none)
Runtime	Pile2_SqliteSettings_BindsSerializedBlob_NoToRaw	source-reading tests pointed at moved files (none)
Runtime	PathIsUnder_ReplacesRelativeStartsWith	source-reading tests pointed at moved files (none)
Runtime	Sort_TwoPhase_KeysMaterialiseAsync_OrderSync_NoGetResult	source-reading tests pointed at moved files (none)
Runtime	Trace_HandleReportsConceptName_NotNamespaceTail	item apex reports "*" (none)
Runtime	CallStack_ReportsItemApex_KindCallstack	item apex reports "*" (none)
Runtime	Variables_HandleReportsConceptName_NotNamespaceTail	item apex reports "*" (none)
Runtime	App_ReportsItemApex_KindApp	item apex reports "*" (none)
Runtime	NoInstanceProperty_HasASetter	shared item instances have a settable `Template` (none)
Runtime	EveryInstanceField_IncludingInherited_IsReadonly	shared item instances have a settable `Template` (none)
Runtime	Debug_LevelAction_AttachesWidenedHandlers_NoThrowOnFire	debug module (none)
Runtime	NewInstance_IsEnabled_FalseByDefault	debug module (none)
Runtime	AtSchemaBlocked_AsDictKey_WireMarkerOnly	other (none)
Runtime	FileWriteOut_UnNarrowed_EmitsRawContentBytes	other (none)
Runtime	Directory_WriteOut_EmitsFlatListingOfLocations_NotContents	other (none)
Runtime	ErrorAsStringSlot_OriginalErrorStaysPrimary_ConversionFailureGoesOnChain	other (none)
Runtime	BeforeAction_SignatureUnchanged_NoPayloadWidening	other (none)
Runtime	BuilderCatalog_ForFixedTypeSet_RendersByteIdentical_BeforeAndAfterEntryFold	other (none)
Runtime	VariableSet_BangSyntax_WritesProperty	other (none)
